,0
143,"Arthurs
231 Washington
Hoboken, NJ 07030
(201) 856-5009

1058 Alexandr

  

Chix 1844 TAB/62
Oct01’17 01:44PM

“thur’s Burger #ChsBleu 13.95
Burger #ehvocado «15.95

 

eS Mec Li als a
Private Rooms
Available for
Your Next Party!

 
"
144,"CHLOES1
81 Ludlow st
New York, NY 10002
Tel 212 677-0067

Check Name: HWANG, HYUN

Server; Bar

Date: 08/03/18
Table: Guests: 1

-[Seat 1] ;
2 HOUSE VODKA
1 HOUSE TEQUILA

Subtotal:

Tax: ;

Sub w/Tax:
Gratuity:
Amt Due:

Visa EMV

 
"
145,"oF MIGUELS MEXICAN —

3035 WW. KENNEDY BLVD
TAMPA

sik
(813) 876 - 2567
127 MISSY

Tb 82/1

    
 
 

3 WATER 0,00

1 CRAB SUIZA 13.25

1 SHRIMP VERACRUZ 14.95
1 ENCHILADA 4.95
1 FAJITA BF 13.95

1 *¥TAKE QUT#® 0.25
4 HH MIGUELS MARGARIT @ 3.38 13.52
Subtotal 60.87
Tax 4.27
05:19PM Total 65.14

PLEASE pay voip ecevER
"
146,"Rihanna's Caribbean Restaurant

12709 BEECHNUT ST STE100
HOUSTON, TX 77072
8328902382

ORDER: 12

Cashier: LeeLee
12-Aug-2018 3:01:40P

1 Curry Chicken
1 Beef Pattie

Subtotal
Tax

Total

Didar BVA React

$10.00
$2.25

$12.25
$1.07

$13.26

 
"
147,"NEW DELHI

TNDIAN
RESTAURANT

#2376, Sisivath Quay, Pinon Pent, Canbodia
Tel: 0969591472

 

  

uonlyélehotaai com

= INVOICE
Ticket No:1740 Date:24-Nov-16
Table No: 5 Time:9:12 PH

QTY PRICE TOTAL

 

House Wine White Glass
VEGETABLE SHORBA
GARLIC. NAAN

KART PAKORA

ANGKOR. BEER WITH MEAL
ANGKOR BEER WITH HEAL

   
 
     

* Thank you for dining with ust *

* We Have Free Hone Delivery! *

 
"
148,"Sonic Anerfea's drive

518 Robertson Boulevard
Walterboro, st 29408
(048-782-4565

 

 

Stall we
96 LoROEN
stl 15/1 hk 689
sunz2'18 07594
Tray: 8
Stall
fee Ind 1 eee
1 onto 6.19
(he Buroer
ld ayo
ad Mast
A Ket
Ned Fries
Med Dr Pepper
1 rea Dog Cosbo 5.09
Nt Doo
ed Tots
Ned Coffee
Tox 119) Total Dues 13.0
aves Al] beet
sutotal el
i 18
(06;000H Total Our: 13.07
You Saved, 1.08

 

 
"
149,"pine In
penny’s Restaurant #8129
160 Fastern Boulevard
Canandaigua, NY 14424
(585) 394-4880

 

   

fate)
8/30/2015 11:00:11 PM
Order: 429742 Server: Bethany F
Table: 12 Guests: 2
1 No Beverage 0,00
1 No Beverage 0.00
1 Milk Shake 3.99
Shake Choc
SubTotal 3.99
Tax 0.30
Gratuity 1.00

Total 5.29
"
150,"  
         
   
   

 

Zia

D6 woooreD Res 2**"",

SPRIS 7
5.96 AHOUNT 0 80.45

  

fe WANT TO HEAR YouR FEEDBACK
peeASE CONTACT 1-877-672- ragy
OR CUSTOMERSERVICE@HASHOSY ‘Coy

10 SHARE YouR EXPERTENCE

STOREID: sweraca:
"
151," 

 

Collector's Choice Restaurant
215 Cypress Ave
onohomish WA G8B290
360-568-1277

April 10, 2019 12:00pm
licket: 1904100085

Server: Cheryl] V
Seat: Dining: 18: |

  
   
   
  
   
   
 
  

Price

Item

1 Twisted Rueben 11.691

Subtotal 11. 62
1 Service Fee (~-6%) hen

Sales Tax (9. 2%)

Total $13.53

Tip Helper:
15%=2. 03 18%=2.44 20%-2. 11

Starting January 25th, 2019
CCR includes a 6% service charge on each
guest check.

This service charge 1s fully retained by

the company, not the servers. It will be

used 100% to provide fair wages for our

kitchen staff with equitable pay and

benefits to our entire team.
We are required by law to collect tax on
the service charge.

Please Continue Tipping your Server

Thank you for your continuing supr
can

Receive a 3% Discount for payin
Ce

 
"
152,"KALOOKI'S
03/14/2018 6:12 PM.
5300
Denise
Unit Price
Chicken Fingers 8.00 8.00
Spley shrimp 20.00 20.00
Steamed Fish Lg 25.00 25.09
Bottled Water 2.00 4.00
Subtotal 37.00
5.70
$62.70

Service Charge 1
Total

Thank

Kalook''s
Bay Road, Blue Hille

91649 Providenclates
esoas2a388

 
"
153,"Gordon
Paris Las Vegas

 

    

Gord
Check: 2042967 Table: T-35
Server: Lonberto Guests: 2

Terainal

 

 
 

Regular
1 Pina's Cup 14,00
2 The Orifter 28,00

6 14,00
1 Kobe Beef S1ider 18.00
1 New York 63.00
1 Aner Kobe Filet 79.00
1 Lobster Tail 36.00
1 Potato Puree 12.00

1 Grlld Asparagus 13.00
1 Peppercorn 6.00

1 Pepsi 6.00

1 Choc Pot De Cren 13.00

Subtotal 290,00
Tax 23.49

_— Total 313.49
"
154,"  
   
    
  
    
     
    
 
  
 
 
 
  
  
  
    
    
  

Server: Isabe]

Order #: 320502
Table: 16

6 TAP BEER 10-HH
Modelo Tap.

2 Manzanita Sol

1 Tamarindo

1 Sprite

1 Thur. 2 Cock Shrimp

2 Whole Fish
Tilapia Wh)
Fried

1 2 tes Governador
> plan ,fries

1 French Fries

1 Taco DE Asada

> plain,papas

SUB TOTAL:

Tax 1:
Tax 2:

LNT DUE:

Via Mar Restaurant

4105 Maine Ave
Baldwin park, ca 91706
626) 939-9019

9/6/2018

EERE EAA
yniir cerver

station: |

pine In
quests:

9.54

50
25
2.18
11.95
21,90

 
"
155,"Teo} a771185
‘arcooterreshtte,Ye/oasson

40006 char te

1b 15/1 Gx isi kt 2
Station 1 Feb"" 19 212

1 802 F11 Bearn 8

1 Gaz FA Au Po 55

1 Onion Ring 4.55

T Harioots Vert 48
1 Choc Truf Cake

8.95
1 Lunta 33,00

Balance Oue 129.75

 
"
156," 
"
157," 

Thank You
"
158,"Te mia
MITASU JAPANESE RESTAURANT SDN BHD
B-01,CENTRAL PLAZA,
34, JALAN SULTAN ISMAIL,
0250 KUALA LUNPUR
TEL 03-2110 2833
(GST Reg. No : 001774428180)
Tax Invoice
Table D2
Bi11#;V001~-201060 Odr No: 199535

Date ; 29-06-2018 19:59:15

  
 
 
 
 
 
 
 
  
 

       
 

 

Pax(s,

 

‘Subtotal:

Sery. Charge (10%):
GST Payable (0%):
Total:
TOTAL:

     

29-06-2018 21:52:03
780.45

 
"
159," 

Drive Thru Total

Change

  
"
160,"of ‘ee

Angela's Pizza Restaurant
12247 Sheridan St
Cooper Cityb, FL 33026
(954) 893-2000

   
  
 
 
 
    
   

Server: Melina Station: 2

Order #: 4876 Dine In
Table: 1 Guests: 4

1 Sprite 2a50)
1 Chicken Caesar Salad 8.95
1 Chefs Special 19.95
> Chefs Special
Soup of Day
Bar Subtotal: 0.00
Food Subtotal: 31.45
Tax 1: 1.89

 

TOL: $33.34
» Ticket #: 56 «

7/10/2017 9:32:06 PM
THANK YOU!

TMU

 
"
161,"      
     
       
        

   

Sub Tosser 50.
Sales fax > 2

Check Total $ 5
Aditi tip=—
Tota’ Charge:

13% tip is 7,57
18% tip is 9.09
20% tip is 10.10
22h tip is 11.11

rare

'

   

   

Thank you for Coming
Gracias por sy Visita
"
162,"Junipel & IVY
2228 Kettner Blvd
gan Diego» cA 92101

1045 ORO cuncen= ss
qb) 71/1 chk #530 get 4
got06' 16 07:08PM
pine In 3
1 BUCATIN i 00
1 RAVIOLO 18.9
1 BT TURNBULL NAPA 90.00
1 HALIBUT 36.00
1 YODEL 12.00
1 WILK & HONEY 10.00
1 COFFEE SM 6.00
1 GL ROUND POND SB 13,00
1 OCTOPUS 16.00
1 BEEF TARTARE 12.00

A

{ FINLANDIA (WELL) $MARTINE 11,00
4 HALIBUT 38.00

1 SNAPPER aa
acne 309.00

aX ‘
09:19PH Total 24.72

333.72

 
"
163,"BEN’S BAYSIDE
211-37 26th Avenue
Bayside, NY 11360
Phone: (718)229-2967

Enail: BaysidetBensbeli net

 

 

0032

  

DINING ROOM

   

2 DOUBLE DIP,
1 past, bowl barley

1 KNISH

1 ROUND

1 KASHE SIDE

1 COFFEE

2 WATER

 

Sub Total 7
Tax 2 $F
03/05 12:41 TOTAL: 41.32

 

Suggested Gratuity
GRAT 15k 5.69
RRAT 12% Rg RO
"
164,"' fe
OIcien
DECAL
Cate
East Hampton, NY
(631) 329-1600
Fax (631) 329-1648

wn .goldenpearcafe.com
‘Augo6’15 11:01AM

Visa
XXXXXXAXMANK 1773
XX

Auth Code:
Check:

Check ID:
Server: § Karina

Subtotal: 22..g0

———__——
Total i a
Signature___ Sl

T agree to pay above total
according to my card issuer

agreement
Customer
Copy

 
"
165,"12°16

Home Delivry

64.00

1 Delivery Oharae 5.00

‘Amount: Due 117.00

‘s##Thank You For Coningtst
Hone Delivery No:600561112

 
"
166,"PAPPADEAU X

SEAFOOD KITCHEN

Pappadeaux Seafood Kitchen (612)
7800 Airport Blvd (HOU)
Houston, Tx 77061
(713) 847-7622

0089 Table 7 #Party 2
DANIEL 0 = SvrCk: 7 12:46 01/07/17

DINE IN
1 Side Craw Etouffee 4oz 10.98
= 1 Pan Seared Tilapia 2.99
J 2 Tea 5.98
Sub Total: 38.95
Tax: Brel
Sub Total: 42.16

01/07 13:29 TOTAL: 42.16
i Thank you for dining at Pappadeaux!
Tip Not Included
15% ;

| 20%

 
"
167,"$3.00

 
"
168,"CARL’S JR
Restaurant 1100580
11961 Beach Blvd.
Stanton, CA 90680
! (714)895-5114
9/27/2017 12:13:06 PH
Order 375719 Cashier: Alvaro I

1 Box #1 0.00

1 All Star Meal #1 1,00
Dbl Chbgr 0,00
Hot Dog 0.00
Baked Cookie 0.00
Lg Fries 3.00
Lg Bev Bar 3.00

SubTotal]
Tax

Total
Cash
Change

"" To Go
Thank you for visiting!

“Tidet 15

 
"
169,"Delmonico'
7 Srenkhouse =

1883 CENTRAL AVE
ALBANY, NY 12206
(618) 486-5656,

   
  
  
  

Server: Sarah 09/22/2018
Table 57/1 9:26 PM
#70056
Daca offi} nite

6 Itens

   

Not Included

Ne ena
"
170,"  

Buca di Beppo
Store#0511
Universal City, CA 91608
818.509.9463

 
  

  
 
   
     

Server: Molly 07/15/2016
Table 53/1 7:57 PM
Guests: 3 40020
Order Type: Dining

        
  
 

   

     
 
 
 
 
 
 
 
 
 
 
 
   
  
  

ose PS S8ee

4. >
Iced Tea 329 Sheresa
Sn Garlic Bread 9.99) =
Soz Buca Chianti (2 614.00) 28.00 SS
G] Buca Chianti 10,00
$m Chop Antipasto Salad 18,99
Lg Supremo Pizza 29.99

SERRE EE SESE Hca sense
We value your opinion.

Visit bucafeedback.com to complete

a brief survey and enter our weekly
drawing for a chance to win a

$100 digital promotional certificate.
See bucadibeppo.com/buca-feedback-rules
for Official Rules and restrictions.

091 257 000051115

 

a ae Ip
PREREESEREASEESE TASS SS ESS FREE E REESE asta! s
* for Your
a
100.26 ara.
9.02 too)
109,28 ""70Aaa,..
; Say,
Be Due 109.28 ae f
"
171,"DATE AND TIKE — PAX TABLE
266 09/12/2012 4:14 PH 6 SZ
CASHIER scasHier
WATER :walTER

Oty Henu Itea

2 FRENCH FRIES
1 OPEN FOOD

1.00 HANESH SAS
1 PANE!

VAT NO : 278
SSEATHANK

 
"
172,"   

\ Station: 10

Guests: 1
e 3.99
TM: $11.5

» Tioket #7 «
12/2/2019 11:48: 23/44
THANK

 
"
173,"Tab le

23 PM

ied Hate!
id Pollo Taco

1 Add Carnitas Taco

1 Sour Crean

1 Chihuahua Cheese

MPEA Tax
Restaurant.

Food:
Be

n
A Robinson Hill Company.

It's The ExpeRHience That Counts!
Tell us about your visit!
Ww), robinsonht | Jusa, eom/auest=si

 
"
174,"   

  

ipanema

Brazilian Steak House

 

2023 South Pine Avenue 6
Ocala, Florida 34471
(352) 622-174)

Date: 04/13/18 Time: 09:16 pm

Order #: 415

 

$41.95
so) ee ae $41.95
Gratuity: $10.49
Tax: $2.94
Total: $55.38
Pay This Anount:
Recommended Gratuity;
ON = $8.39 23h = $9.65 25 = $10.49
Tay

  

Please Cone icin
HEH)
"
175,"Bar Louie Huntsville
365 The Bridge St. ,Suitel
Huntsviite, AL, 35866

Server: 07/03/2015
Cashier:

143/2 4:42 PM
Guests: 1 20111
Reprint #: 1

Whiskey 6325
Subtota | 6.2
Tax 1.3]
Total 1256
CASH 10.00
Change Patil

Thank you for visiting us!
Ask us about hosting
your party or private event
at Bar Louie Huntsville!
Eat, Drink, Be Happy!
huntsvil le@bar loujeamerica.com

--- Check Closed ---
"
176,"      

HEDLEYS
640 N ROBERTSON BLVD
west HOLLYWOOD CA 90069
310-659-2009

01528251

  
"
177,"E1 Charro Cafe Ventana
6910 E SUNRISE DR

 

06/24/

  
  
 
 
 
 
 

Server: Ana

Table 24/1 8:00 PM
Guests: 2
#30076
Coors Light 5.00
Ice Tea 3.2
Shrimp Fajita 18.95
Stuffed Chicken 17.95
Subtotal 45.15
Tax 215
Total 47,0

Balance Due aU)

 
"
178," 
  
 

  
   
  
  
 
 
 
    
 

3008 BAR PM B

 

chk 7862 van2t‘17 0
1 FREEBIRO

 

1 IGE CREAM

1 LONESTAR
ORIGINAL TTL 11,00
TAX 0.91
09:38PM TOTAL esd

Follow us @gourdoughspud on
Facebook or Twitter for the
Jatest and greatest specials!
"
179,"FourthStreetMill
2124 BONITA AVENUE
LA VERNE, CA 91750

(909) 596-1564

   
  
  
  
  
  
  
  
   
   
   
  

Dine In a
Server: Chris D. Sep 29, 2018 =
Receipt: 4J33 5:38 PM
Table: PS
a
Item(s)
Lamb Burger $13.00
NO Goat Cheese
NO Bread
- Medium
Sauce On Side
Kids Grilled Cheese $5.00
Kids Fries $3.00
Sweet Potato Fries $8.00
Kids Cheeseburger $7.00.
- NO Ketchup
- No bun
Sub sourdough
Beef Burger $10.00
~- Medium Rare
Sides $3.50

- Bacon (2) Slices

   

ee ee
Subtotal $49.50

Sales Tax (Incl. 9.5%) $4.70
Total $54.20

ee he,
"
180," 

   

can seasoning
ines or ce 8

 

subtotal ft
a ore
ime Pie, Car Total Paid 12.03

   

state Tax oa
6, Check Ck
"
181,"“ONT.

98° 6EV
99° Se ae Xv
oor WwLoLans
00° v2 {39 2409 9
Qs’ S2 Gul[yeds SSOA &
00°91 yoeutds paaynes |
Os’ sBuly Wold |
gg'St snBesedsy |
og'ol 038}0q payed |
oc'ot Jamo ye pNed |
0S°69 uy auog afaqly |
i 00°Z1Z 2091 dt} >
ut euld

 

ne
= «S89 1901 44D t/ore LOL

 

* yeyyaqey SLL

  

seo|sauy
0z98# S,00STYd
"
182,"4
svevereeerernesneneaaeesettH HF

Finnegan’s Way Check 822819
1344 Ocean Drive

Miami Beach Florida 33139
Tel. 305-672-7747

 

08/21/17 8:38 PH

Table 16 Cust 1

Waiter 86 IRYNA

EMEA AEREERE FHT EEEEEE EFL

4 SOBE MOUITO’S 40.00
BACAROL LIGHT

Taxable:

Sub-total:

Sales Tax 7%:
Resort tan. 2%;
Total

Voluntary 188 Tip:

 

3.
feel free to adjust or renove
tip anount at your discret ion

al 50.80
"
183," 

74 Hah “i9 W.

18621
512-268-9840 of £12-P95-2950
ie 5/Na81§

B Il 11248 AH
Subtotal 8.99
Sales Tax 0.74
Processing Fee 0.21
TOTAL 10.00
BALANCE DUE 10.00

Processing fee will be removed

if the check is paid in cash.
NG Ura GHRGOnARATiie (ini:
"
184,"PREFER ERAERRREREKEREEEE ER EREL EERE EEEEEEEEK OO
O193 Table 54 #Party 2

WILLIAM L  SvrCk: 10 §:07p 03/22/13
DINING ROOM ”

TS MAIN DINING

| BEEFEATER-MART INI 11.50
1 ROSEMARY CAIPIRINHA 13.00
1 CRABCAKES 17.00
1 BLACK PEPPER BACON 12.00
1 Millenium 2# 52.00
1 NY SIRLOIN 46 .00
1 BRUSSEL SPROUTS 13.00
| ESPRESSO 4.50
1 LAUREN’S HAZELNUT TORTE 5.00

Sub Total: 176.00

Tax » 15.95

Sub Total: 193.35

03/22 9:54pTOTAL : 193.35

OEE ee | a eee 2 ee oR
"
185,"JT's Diner
37011 Cook Street
(760) 797-2100

Server: Braulio
102/1
Guests: 2

Coffee (2 @2.95)

Two Eggs Any Style
Whole-Wheat Pancakes
Hawaiian Sausage

Subtotal
Tax

_ Total

 

02/12/2016
10:28 AM
50022

5.90
6.95
8.95
4.50

26 .30
2010

28.40
"
186,"rrimo

Family Restaurant

  
   
 

      

Sales Tex

Total

 
"
187,"SSS

Spiral Diner « Bakery
608 E Hickory St
Denton, TX 76205

    
  
   
   
   
   
  
  
 

Order# 185736
Eat In Order
Server: Sarah &
9

   
  
  
  

Real Smooth

 

Short Stack oa
Coffee $2.99
Breakfast Quesadilla $13.99
NO Sausage +80 00
Grilled Spinach +$1 99
Southern Comfort $10.99
Subtota]) 337s aes $46 54
Total Tax: $3.04
Total: $90 38
Order Balance due: $50.38
www.spiraldiner .com
Follow Us On
"
188,"New China
a0 North Hil Ra.sulel”~ 102
sa, AZ 85205
rejiqborio 9886/9892

Walk In
Dale: 03-12-2016 Time: 4:02PM #23_
30S

 

 

 

 

~ 1 Beefw. Broccoli 8.25

w. Chicken Fried Rice 2,00
1 Sweet / Sour Chicken 7.95
1 Chicken Chow Mein 675

Amount: 24.95
TAX(8.05%): 2.01
TOTAL: 26.96

Thank you very much

 
"
189,"A
MIGUELS Mex
‘95 KENNEDY BLVD.
TAA FL.
(613) 876 - 2567

187 MEGAN F
Tol ai

    
   
   
    

  

 

DINE IN
2 NaTER

4 ENGH VERDE
1 ENCH HANEL

‘Subtotal

 
"
190,"2 aS >

Rie]

Pe tg
nd

poeta

Bombay Grill House
764 9TH AVE
NEW YORK, NY 10019
2129771010

Any Special Offer will be at End of Receipt

ORDER: Table 2
Dine In
30-Jun-2018 10:36:38P

Transaction 104379
1 Onion Bhajia $5.95
1 Lamb Vindaloo $14.95

medium

Konkan Fish Curry $16.95
medium

Shrimp Briyani $16.95
medium

Garlic Naan $4.00
Hess Cabernet $50.00

Subtotal $108.80
Tax $9.66

Total $118.46

CREDIT CARD AUTH $118.46
MASTERCARD 0148

Tip

Znu—

CnowiIN Al EXANDER

 
"
191,"MOD Pizza

26902 9nd AVE NH
suite A
‘Stanwood, WA 98292
Phone 360.205.9680
9/19/2019 4:06:54 PM
Order Td: AABTSHNGACCM

#77 -

Draft Beer (2 ¢ 4.97)
untain Drink (1602)

jzza

 
"
192,
193,"   

 

111590 Becky

Toi 2/1

 
    

PM

1
1 NO_BEVERAC 0
1 SOFT DRINK 2.79
BOAY CLUB $5 5.00-
Subtotal 7.77
Tax 1.42
07:10PM Total 19.19

Tone 'a whole piet

 
"
194,"2 Dare Se
vmectabie #20
este“

78 oasis Ute
1 vies Sut
1 Reso
} SeLLeTs ro
1 FSH OES,
eo URE

: BAR RUA
@BARRUADUB
7 TRIPADVISOR

Twitter
REVIEW

<-REPRINTED-?

 
"
195,"Amici Conyers

1805 Parker RD Suite @110
1805 Parker Rp
(878) 890-2005

Server: Nicole 08/10,
Table 52/1 i we
Guests: 2 000,
Seat 1

jpabeRR RRR EERO REEEEEEEE Deer

  
     
   
   
  
   
 

Coke :
Margherita Caizcne 2,29

    

11.99
Side Caesar 4.99
Subtctal 19.27
Tax 1.35
Total 20.62

Seat 2
eee ebe bbb a EI EI SORIA OE ERO
Coke 2.29
Db] Stack Cheeseturger 8.99
Bacon 0.99
Subtctal 12,27
Tax 0.86
Tctal 13.13
Subtotal 31.54
Tax 2.21
Total 33.75
Balance Due g3.75

k you for dining with us!
GLESTED GRATUITY:

 

 
"
196,"NAMES CHARES

CHECKE 7128.1
Closed to Credit Cara

DATE/TIME: 12/31 x
SHTE/TINES 2/31/2018 6:06:02 PH
STATION: OF

eee Gate

So happy about your visit!

 

   

 

SAL $20.00
CHICKEN (MURGH)
1 jenn fae $18.00
(CHEESE)
1 VEGAN FECA BHARTAS $17.00
Subtotal $35.00
3.30.
Total 880

Total before tip:

 

 

Tip amount
"
197," 

BAR RISTORANTE
STABILINENTO HARIN ETERHALE
SAN HONTANO S.R:t
urn s,yonmato — cceo ANen, CH
paRTITA Tua 00200430635

EURO
2 x 0.50

Gassoi e Stoviglic 1.00
2°5 5.00

flacedonia 10.00
Insalata Negonbo 40.00
Bufala 5/00
Pomodorini 4.00
Nat 1/2 It coo

TOTALE € 34,00

CONTANTE

REG. 001 OPER. 1
28-08-2018 12:41

SCONTRINO FISCALE N. 82

oe 1 45400311

 
"
198," 

stk Mia
Collins Ave

wiant, FL 33140

100 SERVER

103/1 4959 6ST

25aug17 8:03PM

 

suggested or
are shown below
BS gratuity $25.56
20% gratuity $28.40
22% gratuity $31.2

 
"
199,"aes vet Saat 9
West Helles, ck S008
Het 310-270-4655

way om

12

 

Total Due
"
